Angle,Steps
-6.68,3
-7.0,3
-7.42,3
-9.12,3
-9.92,3
-10.68,3
-10.9,3
-10.73,3
-11.04,3
-11.5,3
-11.98,3
-12.13,3
-12.15,3
-12.14,3
-12.18,3
-12.19,3
-12.12,3
-11.95,3
-11.88,3
-19.29,4
-28.72,4
-13.66,4
10.67,4
10.98,4
13.26,4
2.5,4
-4.26,4
-9.13,4
-8.93,4
-9.51,4
-10.23,4
-11.04,4
-11.83,4
-12.37,4
-12.56,4
-13.25,4
-18.98,4
-20.01,4
-18.92,4
-17.53,4
-14.85,4
-12.84,4
-11.7,4
-11.36,4
-11.25,4
-10.22,4
-9.29,4
-8.24,4
-7.45,4
-6.71,4
-6.05,4
-5.44,4
-5.16,4
-5.14,4
-5.69,4
-6.65,4
-7.77,4
-8.86,4
-9.78,4
-10.22,4
-10.5,4
-10.63,4
-10.5,4
-10.39,4
-10.33,4
-10.23,4
-10.39,4
-10.62,4
-10.84,4
-11.08,4
-11.39,4
-11.5,4
-11.5,4
-11.41,4
-11.34,4
-11.32,4
-11.37,4
-11.34,4
-11.44,4
-11.54,4
-11.57,4
-11.65,4
-11.69,4
-11.68,4
-11.57,4
-11.46,4
-11.3,4
-11.24,4
-11.2,4
-11.19,4
-11.17,4
-11.17,4
-11.16,4
-11.18,4
-11.19,4
-11.15,4
-11.14,4
-11.11,4
-10.94,4
-10.81,4
-10.68,4
-10.54,4
-10.42,4
-10.46,4
-10.42,4
-10.41,4
-10.46,4
-10.54,4
-10.57,4
-10.56,4
-10.51,4
-10.38,4
-10.26,4
-10.17,4
-10.05,4
-10.02,4
-10.03,4
-10.02,4
-10.03,4
-10.08,4
-10.1,4
-10.02,4
-9.88,4
-9.77,4
-9.63,4
-9.5,4
-9.36,4
-9.31,4
-9.28,4
-9.27,4
-9.25,4
-9.26,4
-9.3,4
-9.25,4
-9.09,4
-8.92,4
-8.73,4
-8.6,4
-8.49,4
-8.42,4
-8.37,4
-8.37,4
-8.35,4
-8.36,4
-8.39,4
-8.42,4
-8.39,4
-8.28,4
-8.13,4
-8.0,4
-7.91,4
-7.79,4
-7.74,4
-7.67,4
-7.59,4
-7.56,4
-7.51,4
-7.47,4
-7.43,4
-7.34,4
-7.23,4
-7.11,4
-7.01,4
-6.94,4
-6.82,4
-6.77,4
-6.68,4
-6.63,4
-6.58,4
-6.54,4
-6.51,4
-6.45,4
